frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags
"1741693395.055419000","192.168.86.193","13.107.246.48","53944","443","0x0010"
"1741693395.056384000","13.107.246.48","192.168.86.193","443","53944","0x0018"
"1741693395.056385000","13.107.246.48","192.168.86.193","443","53944","0x0018"
"1741693395.056422000","192.168.86.193","13.107.246.48","53944","443","0x0010"
"1741693395.096699000","192.168.86.193","13.107.246.48","53944","443","0x0010"
"1741693395.433822000","192.168.86.193","13.107.246.48","53942","443","0x0002"
"1741693395.433857000","192.168.86.193","169.254.169.254","51360","80","0x0002"
"1741693395.486370000","13.107.246.48","192.168.86.193","443","53942","0x0012"
"1741693395.486430000","192.168.86.193","13.107.246.48","53942","443","0x0010"
"1741693395.487587000","192.168.86.193","13.107.246.48","53942","443","0x0018"
"1741693395.549567000","13.107.246.48","192.168.86.193","443","53942","0x0010"
"1741693395.550688000","13.107.246.48","192.168.86.193","443","53942","0x0010"
"1741693395.553172000","13.107.246.48","192.168.86.193","443","53942","0x0018"
"1741693395.553220000","192.168.86.193","13.107.246.48","53942","443","0x0010"
"1741693395.553713000","192.168.86.193","13.107.246.48","53942","443","0x0018"
"1741693395.629703000","13.107.246.48","192.168.86.193","443","53942","0x0018"
"1741693395.630612000","192.168.86.193","13.107.246.48","53942","443","0x0018"
"1741693395.709463000","13.107.246.48","192.168.86.193","443","53942","0x0018"
"1741693395.709465000","13.107.246.48","192.168.86.193","443","53942","0x0018"
"1741693395.709789000","192.168.86.193","13.107.246.48","53942","443","0x0010"
"1741693396.399800000","192.168.86.193","192.168.86.88",,,
"1741693396.399897000","192.168.86.193","192.168.86.88",,,
"1741693396.457798000","192.168.86.193","169.254.169.254","51360","80","0x0002"
